GENRE,GENRE_Pred_NB,GENRE_Pred_NB_oversampled,GENRE_Pred_NB_undersampled,GENRE_Pred_logistic_reg,GENRE_Pred_logistic_reg_oversampled,GENRE_Pred_logistic_reg_undersampled
comedy,drama,comedy,family,comedy,comedy,family
drama,drama,war,war,drama,drama,war
drama,drama,romance,romance,drama,romance,romance
romance,drama,romance,biography,drama,drama,biography
documentary,documentary,documentary,sport,documentary,documentary,sport
action,drama,action,action,drama,action,action
reality-tv,documentary,reality-tv,news,documentary,reality-tv,news
comedy,documentary,sci-fi,sci-fi,drama,fantasy,fantasy
documentary,drama,drama,drama,drama,drama,drama
drama,drama,comedy,music,drama,drama,musical
drama,drama,romance,romance,drama,drama,drama
drama,drama,drama,documentary,drama,drama,documentary
drama,drama,mystery,horror,drama,thriller,horror
documentary,documentary,documentary,biography,drama,biography,biography
drama,drama,drama,musical,drama,musical,musical
documentary,documentary,music,musical,documentary,music,musical
documentary,documentary,talk-show,talk-show,documentary,documentary,reality-tv
drama,drama,thriller,crime,drama,action,crime
drama,drama,drama,mystery,drama,drama,mystery
music,documentary,music,music,music,music,music
short,drama,drama,horror,drama,drama,biography
comedy,drama,comedy,crime,comedy,comedy,crime
drama,drama,drama,mystery,drama,drama,mystery
drama,drama,comedy,thriller,comedy,comedy,comedy
drama,drama,short,short,drama,short,biography
short,documentary,short,history,drama,drama,war
drama,drama,romance,romance,drama,drama,romance
horror,drama,drama,drama,drama,drama,drama
documentary,documentary,history,history,documentary,documentary,history
drama,drama,thriller,thriller,drama,drama,short
war,drama,action,war,drama,action,action
documentary,documentary,documentary,war,documentary,drama,biography
drama,drama,comedy,family,comedy,short,family
drama,documentary,documentary,thriller,drama,drama,history
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,drama,romance,drama,drama,romance
documentary,documentary,documentary,war,documentary,documentary,war
crime,drama,mystery,crime,drama,thriller,crime
short,drama,drama,horror,drama,comedy,adult
horror,documentary,adventure,documentary,documentary,adventure,documentary
drama,drama,comedy,comedy,comedy,comedy,comedy
documentary,documentary,documentary,history,documentary,documentary,history
drama,drama,drama,drama,drama,drama,drama
horror,documentary,horror,game-show,horror,horror,talk-show
short,drama,romance,drama,drama,drama,drama
fantasy,drama,drama,horror,drama,drama,history
comedy,drama,action,romance,comedy,comedy,romance
animation,documentary,short,music,documentary,short,musical
documentary,documentary,documentary,documentary,documentary,short,documentary
drama,drama,fantasy,horror,drama,reality-tv,fantasy
comedy,drama,horror,horror,horror,horror,horror
drama,drama,drama,sci-fi,drama,drama,drama
family,drama,comedy,news,comedy,comedy,news
drama,drama,biography,biography,drama,drama,biography
documentary,documentary,documentary,biography,documentary,biography,biography
comedy,drama,adult,history,drama,drama,history
comedy,documentary,reality-tv,news,comedy,reality-tv,news
short,documentary,horror,thriller,drama,reality-tv,thriller
comedy,documentary,comedy,comedy,comedy,comedy,comedy
music,drama,family,music,music,music,music
comedy,comedy,comedy,comedy,comedy,comedy,comedy
documentary,documentary,documentary,drama,documentary,short,documentary
documentary,documentary,documentary,musical,documentary,documentary,musical
short,documentary,music,music,documentary,documentary,music
documentary,documentary,music,music,documentary,music,music
documentary,documentary,crime,news,documentary,crime,news
drama,drama,thriller,documentary,drama,drama,documentary
horror,drama,horror,horror,horror,horror,horror
short,drama,short,game-show,short,short,documentary
short,documentary,short,short,documentary,short,short
mystery,documentary,thriller,crime,documentary,thriller,crime
short,documentary,sport,game-show,documentary,action,game-show
drama,drama,short,horror,drama,short,horror
comedy,documentary,short,talk-show,comedy,comedy,adult
reality-tv,documentary,sci-fi,sci-fi,documentary,sci-fi,sci-fi
short,documentary,documentary,history,documentary,documentary,talk-show
horror,drama,horror,horror,horror,horror,horror
action,drama,thriller,crime,drama,action,crime
drama,drama,drama,romance,comedy,reality-tv,romance
short,drama,comedy,drama,drama,drama,drama
western,drama,western,western,western,western,western
drama,documentary,documentary,war,drama,drama,drama
thriller,drama,thriller,crime,thriller,thriller,crime
romance,drama,drama,romance,drama,drama,romance
short,drama,adventure,game-show,short,short,short
documentary,documentary,documentary,family,drama,drama,family
drama,drama,drama,romance,drama,comedy,romance
thriller,drama,thriller,thriller,thriller,thriller,crime
drama,documentary,documentary,drama,documentary,documentary,drama
family,documentary,history,history,drama,family,history
short,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,musical,documentary,documentary,musical
documentary,documentary,documentary,sci-fi,documentary,documentary,sci-fi
comedy,documentary,reality-tv,documentary,documentary,documentary,documentary
documentary,documentary,animation,animation,animation,animation,animation
western,drama,western,western,western,western,western
documentary,documentary,music,music,music,music,music
short,drama,romance,adult,short,short,adult
comedy,documentary,comedy,music,comedy,comedy,music
comedy,documentary,comedy,talk-show,comedy,comedy,talk-show
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,comedy,game-show,comedy,comedy,talk-show
documentary,documentary,short,short,documentary,documentary,biography
documentary,documentary,documentary,animation,documentary,documentary,animation
drama,drama,drama,romance,drama,drama,romance
comedy,drama,drama,drama,drama,drama,drama
family,drama,family,family,comedy,family,family
documentary,documentary,documentary,biography,documentary,documentary,documentary
short,drama,comedy,comedy,comedy,comedy,comedy
thriller,drama,thriller,thriller,drama,western,thriller
drama,drama,drama,thriller,drama,drama,thriller
documentary,documentary,sci-fi,sci-fi,documentary,sci-fi,sci-fi
drama,drama,romance,romance,drama,romance,romance
drama,drama,horror,drama,drama,drama,drama
adventure,drama,reality-tv,game-show,comedy,comedy,reality-tv
drama,drama,family,family,drama,family,family
documentary,documentary,history,history,documentary,documentary,documentary
comedy,documentary,music,music,comedy,comedy,music
drama,documentary,documentary,sci-fi,drama,documentary,documentary
drama,drama,drama,action,drama,drama,action
comedy,documentary,comedy,thriller,comedy,comedy,documentary
adventure,drama,action,action,action,action,action
history,documentary,history,history,documentary,history,history
drama,drama,western,western,drama,family,animation
comedy,drama,western,game-show,comedy,western,music
short,drama,drama,fantasy,drama,drama,fantasy
history,documentary,biography,documentary,documentary,documentary,documentary
horror,drama,horror,adult,drama,adult,adult
animation,documentary,animation,sci-fi,sci-fi,animation,sci-fi
sport,documentary,reality-tv,reality-tv,reality-tv,family,reality-tv
short,documentary,documentary,history,documentary,short,history
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,comedy,crime,comedy,comedy,crime
thriller,drama,drama,biography,drama,drama,biography
western,drama,western,western,western,western,western
comedy,drama,adult,adult,drama,adult,adult
action,drama,thriller,thriller,drama,action,action
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,adventure,thriller,drama,comedy,mystery
drama,drama,thriller,romance,drama,comedy,romance
short,drama,short,drama,short,short,reality-tv
romance,drama,drama,romance,drama,drama,romance
drama,drama,drama,thriller,drama,drama,adult
documentary,documentary,documentary,war,documentary,action,news
documentary,documentary,family,family,documentary,short,family
documentary,documentary,documentary,sci-fi,documentary,documentary,documentary
comedy,drama,adventure,biography,drama,drama,biography
documentary,documentary,documentary,documentary,documentary,documentary,documentary
thriller,drama,thriller,adult,drama,thriller,adult
action,drama,action,sci-fi,action,adventure,sci-fi
comedy,drama,comedy,action,comedy,comedy,action
comedy,drama,short,drama,comedy,comedy,comedy
comedy,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,war,documentary,short,documentary
documentary,documentary,history,history,documentary,documentary,history
comedy,documentary,talk-show,talk-show,comedy,talk-show,talk-show
documentary,documentary,documentary,biography,documentary,documentary,biography
horror,drama,horror,thriller,horror,horror,thriller
drama,documentary,documentary,history,documentary,documentary,history
drama,drama,thriller,drama,drama,drama,fantasy
horror,drama,thriller,horror,drama,thriller,short
drama,drama,crime,thriller,drama,crime,mystery
drama,drama,comedy,drama,comedy,comedy,drama
family,documentary,family,family,family,family,family
short,drama,family,reality-tv,comedy,reality-tv,family
sci-fi,drama,sci-fi,sci-fi,documentary,sci-fi,sci-fi
comedy,drama,thriller,romance,comedy,comedy,romance
drama,drama,romance,fantasy,drama,drama,fantasy
comedy,documentary,short,short,documentary,drama,short
documentary,documentary,sci-fi,sci-fi,documentary,documentary,mystery
action,documentary,action,sci-fi,action,action,action
drama,drama,drama,drama,drama,drama,drama
documentary,documentary,documentary,documentary,documentary,documentary,documentary
thriller,drama,horror,drama,drama,drama,drama
documentary,documentary,documentary,history,documentary,history,history
drama,drama,romance,romance,drama,romance,romance
short,documentary,short,western,short,short,western
thriller,drama,crime,crime,drama,thriller,crime
comedy,drama,comedy,reality-tv,comedy,comedy,comedy
documentary,documentary,documentary,short,documentary,documentary,short
comedy,drama,comedy,comedy,comedy,comedy,comedy
short,documentary,short,fantasy,documentary,short,fantasy
comedy,documentary,documentary,game-show,documentary,documentary,musical
documentary,documentary,documentary,documentary,documentary,documentary,history
drama,drama,drama,drama,drama,drama,mystery
documentary,documentary,documentary,fantasy,documentary,documentary,fantasy
adventure,drama,action,war,action,action,war
documentary,documentary,documentary,biography,documentary,documentary,sport
game-show,drama,western,game-show,comedy,action,game-show
biography,drama,war,war,drama,action,war
drama,drama,drama,thriller,drama,drama,thriller
drama,drama,drama,romance,drama,drama,romance
adventure,drama,adult,adult,adult,adult,adult
short,documentary,documentary,talk-show,documentary,documentary,history
short,documentary,documentary,news,documentary,documentary,talk-show
documentary,documentary,documentary,reality-tv,documentary,documentary,reality-tv
drama,drama,romance,romance,drama,drama,romance
drama,drama,crime,crime,drama,crime,crime
drama,drama,drama,comedy,drama,drama,comedy
documentary,documentary,documentary,documentary,documentary,documentary,documentary
thriller,drama,fantasy,horror,drama,drama,horror
drama,drama,thriller,horror,drama,drama,horror
short,drama,comedy,romance,drama,comedy,romance
comedy,drama,family,musical,comedy,family,musical
drama,drama,drama,horror,drama,drama,western
comedy,drama,comedy,game-show,drama,comedy,romance
drama,drama,drama,drama,drama,drama,drama
drama,drama,drama,drama,drama,drama,romance
thriller,drama,horror,mystery,drama,thriller,mystery
drama,documentary,adventure,adventure,documentary,documentary,adventure
documentary,documentary,documentary,horror,documentary,documentary,animation
documentary,documentary,documentary,documentary,documentary,documentary,documentary
thriller,drama,horror,horror,horror,horror,comedy
music,drama,romance,musical,comedy,musical,musical
romance,drama,comedy,adult,comedy,comedy,adult
western,drama,western,western,western,western,western
drama,drama,family,family,drama,family,family
drama,documentary,short,short,documentary,short,short
documentary,documentary,music,music,documentary,documentary,music
comedy,drama,comedy,animation,short,short,animation
biography,drama,comedy,mystery,comedy,comedy,mystery
drama,drama,drama,drama,drama,drama,drama
drama,drama,comedy,adult,comedy,comedy,adult
news,documentary,documentary,talk-show,documentary,talk-show,talk-show
documentary,documentary,music,music,music,music,music
short,drama,crime,thriller,short,horror,thriller
family,documentary,reality-tv,animation,comedy,animation,animation
romance,drama,romance,romance,drama,drama,romance
short,documentary,comedy,sci-fi,documentary,documentary,sci-fi
drama,drama,romance,romance,drama,drama,romance
drama,drama,romance,romance,drama,drama,romance
drama,drama,thriller,romance,drama,drama,drama
comedy,drama,romance,romance,comedy,comedy,romance
documentary,documentary,documentary,biography,documentary,documentary,biography
drama,drama,thriller,horror,drama,horror,mystery
family,drama,drama,crime,drama,drama,comedy
horror,drama,horror,horror,horror,horror,horror
documentary,documentary,documentary,talk-show,documentary,documentary,biography
western,drama,western,western,western,western,western
drama,drama,thriller,thriller,drama,drama,romance
comedy,drama,comedy,horror,comedy,comedy,drama
documentary,documentary,documentary,horror,documentary,documentary,horror
short,drama,adult,adult,horror,adult,drama
comedy,drama,drama,romance,drama,romance,romance
mystery,documentary,crime,crime,documentary,crime,crime
drama,drama,crime,crime,drama,drama,crime
comedy,drama,romance,romance,comedy,comedy,romance
comedy,drama,drama,drama,drama,drama,drama
drama,drama,romance,romance,drama,drama,romance
drama,drama,drama,mystery,drama,drama,mystery
short,documentary,adventure,war,drama,short,war
comedy,documentary,sci-fi,sci-fi,comedy,comedy,sci-fi
short,documentary,documentary,history,documentary,documentary,history
comedy,drama,comedy,adult,comedy,comedy,adult
documentary,drama,drama,thriller,drama,drama,talk-show
thriller,drama,thriller,thriller,drama,thriller,family
history,documentary,war,war,documentary,documentary,war
drama,drama,western,western,drama,drama,drama
drama,drama,drama,sci-fi,drama,drama,horror
comedy,documentary,talk-show,talk-show,comedy,talk-show,talk-show
documentary,documentary,documentary,drama,documentary,documentary,drama
musical,documentary,adventure,history,documentary,documentary,history
short,drama,short,short,comedy,short,short
short,documentary,documentary,talk-show,documentary,documentary,documentary
short,documentary,documentary,music,documentary,documentary,documentary
documentary,documentary,documentary,news,documentary,documentary,news
drama,drama,comedy,romance,comedy,comedy,romance
documentary,documentary,documentary,documentary,documentary,short,sport
drama,drama,comedy,romance,comedy,comedy,romance
drama,drama,sci-fi,horror,drama,horror,horror
drama,drama,adventure,romance,drama,adventure,romance
drama,drama,romance,drama,drama,comedy,romance
horror,drama,horror,horror,horror,horror,horror
drama,drama,drama,drama,drama,drama,comedy
sci-fi,drama,sci-fi,sci-fi,drama,sci-fi,sci-fi
romance,drama,romance,romance,comedy,comedy,romance
drama,documentary,documentary,sci-fi,documentary,documentary,sci-fi
short,documentary,documentary,history,documentary,documentary,history
drama,drama,war,war,drama,war,war
documentary,documentary,documentary,news,documentary,animation,animation
drama,drama,drama,action,drama,drama,action
sci-fi,documentary,sci-fi,sci-fi,sci-fi,sci-fi,sci-fi
documentary,documentary,documentary,reality-tv,documentary,documentary,reality-tv
short,documentary,documentary,news,short,short,news
short,drama,drama,romance,drama,drama,romance
western,drama,western,western,drama,drama,western
drama,drama,romance,drama,drama,romance,drama
crime,documentary,crime,horror,documentary,crime,crime
documentary,documentary,documentary,animation,drama,short,animation
documentary,documentary,documentary,music,documentary,documentary,music
drama,drama,drama,romance,drama,drama,romance
documentary,documentary,documentary,biography,documentary,documentary,biography
drama,drama,thriller,horror,drama,drama,adult
drama,documentary,news,news,drama,news,news
short,documentary,short,short,short,short,short
biography,documentary,documentary,history,documentary,documentary,history
documentary,drama,drama,drama,drama,drama,drama
romance,drama,musical,adult,drama,comedy,adult
comedy,drama,horror,mystery,drama,mystery,sport
action,drama,drama,thriller,drama,drama,drama
drama,drama,drama,drama,drama,drama,comedy
short,drama,comedy,romance,comedy,comedy,talk-show
horror,documentary,horror,horror,horror,horror,horror
drama,drama,thriller,western,drama,drama,western
drama,documentary,crime,crime,short,crime,crime
comedy,documentary,documentary,music,documentary,documentary,music
music,documentary,music,music,music,music,music
comedy,drama,comedy,thriller,comedy,comedy,thriller
documentary,documentary,short,music,short,short,western
documentary,documentary,documentary,music,documentary,documentary,music
documentary,documentary,documentary,documentary,documentary,documentary,documentary
mystery,drama,thriller,thriller,drama,drama,thriller
drama,drama,romance,romance,drama,drama,romance
biography,documentary,reality-tv,reality-tv,documentary,documentary,reality-tv
fantasy,drama,biography,fantasy,drama,history,history
comedy,drama,comedy,thriller,drama,drama,family
drama,drama,drama,game-show,drama,short,thriller
horror,drama,horror,horror,horror,horror,horror
mystery,drama,short,short,drama,drama,short
musical,drama,short,short,drama,drama,short
documentary,documentary,short,documentary,documentary,short,documentary
comedy,documentary,comedy,comedy,comedy,comedy,comedy
drama,drama,thriller,horror,drama,thriller,horror
short,drama,drama,romance,drama,drama,comedy
western,drama,western,western,western,western,western
history,documentary,documentary,biography,documentary,documentary,biography
comedy,drama,comedy,thriller,drama,short,action
documentary,documentary,documentary,history,documentary,short,history
drama,drama,drama,drama,drama,drama,drama
western,drama,western,western,western,western,western
drama,drama,romance,war,drama,drama,action
comedy,drama,mystery,crime,comedy,comedy,crime
sci-fi,documentary,action,sci-fi,documentary,action,sci-fi
short,documentary,horror,horror,drama,reality-tv,horror
sci-fi,documentary,action,thriller,comedy,comedy,animation
drama,documentary,short,short,short,short,short
drama,drama,drama,war,drama,drama,drama
documentary,documentary,documentary,music,documentary,documentary,talk-show
documentary,documentary,talk-show,sport,documentary,short,sport
comedy,drama,comedy,thriller,comedy,comedy,comedy
documentary,documentary,documentary,reality-tv,documentary,documentary,history
short,documentary,documentary,biography,documentary,documentary,biography
drama,drama,drama,romance,drama,drama,romance
documentary,drama,romance,drama,drama,drama,drama
thriller,drama,action,drama,drama,drama,drama
documentary,documentary,documentary,sci-fi,documentary,documentary,sci-fi
documentary,drama,drama,drama,documentary,documentary,drama
drama,drama,drama,romance,drama,short,drama
short,drama,short,news,drama,short,animation
documentary,documentary,documentary,war,documentary,documentary,history
romance,drama,romance,romance,comedy,comedy,romance
documentary,documentary,documentary,talk-show,documentary,documentary,musical
comedy,drama,comedy,horror,comedy,comedy,family
game-show,documentary,game-show,game-show,short,game-show,game-show
horror,drama,horror,horror,horror,horror,horror
drama,drama,drama,drama,drama,drama,drama
drama,drama,horror,thriller,drama,drama,romance
drama,drama,drama,drama,drama,drama,romance
short,drama,short,short,short,short,musical
documentary,documentary,documentary,documentary,documentary,documentary,documentary
comedy,drama,comedy,romance,comedy,comedy,romance
comedy,drama,romance,romance,comedy,comedy,romance
short,documentary,short,game-show,short,short,short
western,drama,western,western,western,western,western
documentary,documentary,documentary,documentary,documentary,documentary,history
romance,drama,drama,drama,drama,drama,drama
drama,drama,drama,romance,documentary,documentary,documentary
action,drama,action,action,action,action,action
comedy,drama,family,romance,comedy,comedy,romance
documentary,documentary,documentary,biography,documentary,documentary,biography
comedy,drama,romance,romance,drama,romance,romance
animation,drama,animation,family,comedy,family,family
sport,documentary,sport,sport,sport,sport,sport
short,drama,short,romance,drama,short,romance
documentary,documentary,documentary,short,documentary,documentary,short
drama,drama,thriller,horror,thriller,thriller,horror
adult,drama,crime,comedy,comedy,comedy,comedy
short,documentary,short,musical,short,short,musical
documentary,documentary,documentary,talk-show,documentary,documentary,talk-show
sci-fi,documentary,sci-fi,game-show,short,sci-fi,war
drama,drama,drama,drama,drama,drama,drama
mystery,documentary,fantasy,game-show,documentary,documentary,documentary
drama,drama,horror,drama,comedy,family,music
drama,drama,romance,biography,drama,drama,biography
documentary,documentary,short,short,short,short,short
talk-show,documentary,talk-show,talk-show,comedy,talk-show,romance
documentary,drama,drama,history,documentary,documentary,history
thriller,drama,adult,adult,comedy,adult,adult
comedy,drama,comedy,adult,comedy,comedy,comedy
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,thriller,drama,drama,drama,romance
music,documentary,music,music,documentary,music,music
comedy,drama,talk-show,talk-show,comedy,talk-show,talk-show
short,documentary,short,short,short,short,short
comedy,documentary,documentary,war,documentary,documentary,war
horror,drama,crime,horror,horror,horror,horror
documentary,documentary,documentary,short,documentary,documentary,short
drama,drama,drama,horror,drama,drama,short
documentary,documentary,sci-fi,animation,short,short,animation
thriller,drama,thriller,thriller,drama,thriller,crime
biography,drama,action,war,drama,drama,war
documentary,documentary,documentary,documentary,documentary,documentary,documentary
drama,drama,short,romance,drama,drama,romance
drama,drama,comedy,drama,comedy,comedy,comedy
documentary,documentary,crime,history,documentary,documentary,history
comedy,drama,comedy,thriller,comedy,comedy,thriller
drama,drama,drama,thriller,drama,drama,drama
